village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,nearest_border_country
220,Gurguti,Chamoli,Joshimath,Uttarakhand,True,30.7738,79.8758,12.359728268667741,China
221,Joshimath,Chamoli,Joshimath,Uttarakhand,True,30.5555752,79.5612607,42.46828556406534,China
222,Kailashpur,Chamoli,Joshimath,Uttarakhand,True,30.7148,79.8639,18.761113217781435,China
223,Mahargaon,Chamoli,Joshimath,Uttarakhand,True,30.4061118,79.4205814,60.90149733044834,China
224,Malari,Chamoli,Joshimath,Uttarakhand,True,30.6845508,79.8893688,21.014135577610684,China
225,Mana,Chamoli,Joshimath,Uttarakhand,True,30.9671228,79.4109692,5.913893104274585,China
226,Bilju,Pithoragarh,Munsyari,Uttarakhand,True,30.3949398,80.1659059,18.289953513352895,China
227,Burphu,Pithoragarh,Munsyari,Uttarakhand,True,30.3666548,80.1842308,21.380757638706076,China
228,Martoli,Pithoragarh,Munsyari,Uttarakhand,True,30.3482498,80.1931552,23.45184608978845,China
229,Rilkot,Pithoragarh,Munsyari,Uttarakhand,True,30.3104468,80.2080315,27.74022856873658,China
230,Tola,Pithoragarh,Munsyari,Uttarakhand,True,30.3356863,80.2121168,25.002671919293853,China
231,Baling,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.2092254,80.5479905,26.65376486239348,China
232,Dar,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.069216,80.602947,11.436586443402039,Nepal
233,Dugtu,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.21,80.5679,23.46686348886542,China
234,Garbyang,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.1251387,80.8575277,1.759200339492364,Nepal
235,Gunji,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.1865763,80.8508108,0.30190121099568223,Nepal
236,Kuti,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.3078792,80.7599224,2.4770319893684465,China
237,Navi,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.2049725,80.8373063,2.629675430489591,Nepal
238,Rongkong (Raung Kong),Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.2033451,80.8316381,2.9362880034127987,Nepal
239,Sela,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.1472581,80.6056591,17.274239757577927,Nepal
240,Tidang,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,30.246,80.5487,23.044565266965535,China
241,Amali,Pithoragarh,Dharchula or Kanalichhina (unresolved),Uttarakhand,True,29.7039,80.3278,2.576623529541686,Nepal
242,Bagori,Uttarkashi,Bhatwari,Uttarakhand,True,30.7702443,78.4746317,64.67131716210713,China
243,Dharali,Uttarkashi,Bhatwari,Uttarakhand,True,31.0408468,78.7815312,27.433888143580578,China
244,Harshil,Uttarkashi,Bhatwari,Uttarakhand,True,31.0350501,78.7572289,28.19520206688386,China
245,Jadung,Uttarkashi,Bhatwari,Uttarakhand,True,31.1648,79.0397,16.221724682444783,China
246,Jaspur,Uttarkashi,Bhatwari,Uttarakhand,True,30.727214,78.4636435,69.4610340871621,China
