village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_2021,ndbi_n_2021,lights_2021,lights_n_2021,ndbi_2023,ndbi_n_2023,lights_2023,lights_n_2023,ndbi_2025,ndbi_n_2025,lights_2025,lights_n_2025
56,Raro Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6890058,93.0717372,-0.2665705178451608,98,0.417797884988891,4,-0.2790292228551194,98,0.23843541304956298,4,-0.24743857830121546,120,0.341450438268466,4
57,Tamsang Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6760974,93.0917894,-0.2357241223363607,98,0.39042131662634866,4,-0.21828612341459053,98,0.2713727711234242,4,-0.26202040021942785,120,0.32282645414982525,4
58,Warriam Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7279436,92.9802579,-0.22637144011753202,49,0.3833898288045226,4,-0.2762321031441258,49,0.3847542395362746,4,-0.20659625002811746,59,0.2562598919632745,4
59,Wallong,East Kameng,Khenewa,Arunachal Pradesh,True,27.6530641,92.9685879,-0.247173070086126,49,0.29510858034370735,4,-0.2227046503210048,49,0.3019097987686871,4,-0.2773426614767024,60,0.23963808922101235,4
60,Chate,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1191826,93.3236259,-0.29321789644323876,49,0.3791554432726067,4,-0.3201862572079027,49,0.17640572345651492,4,-0.2622015727095705,60,0.22181537621952466,4
61,Chulla,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1242982,93.411274,-0.2794907390864677,49,0.4198083370554407,4,-0.27380622383410375,49,0.18450394410560203,4,-0.2810210898289113,60,0.13756764323157683,4
62,Damin H.Q.,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1041982,93.3343841,-0.23691933551895447,49,0.35358695554626957,4,-0.28888427758892626,49,0.4451950869233313,4,-0.20977799755222454,60,0.3111594198572729,4
63,Damin Village,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1050092,93.3443566,-0.24952291103839797,49,0.33102826992186113,4,-0.26405218911515427,49,0.17812638315155346,4,-0.2731733269846547,60,0.23102826483035566,4
64,Digok,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1272533,93.3496878,-0.26571181836711544,49,0.34984705342731975,4,-0.288773736366713,49,0.02138487240496414,4,-0.25406668261631726,60,0.19631813310741453,4
65,Fuba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1198537,93.3376816,-0.2946788569751516,49,0.4310930607163852,4,-0.2940781760214806,49,0.1222001163481062,4,-0.25771363346694054,60,0.17651625483760383,4
66,Huri,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1095105,93.3045975,-0.27185308149765036,49,0.3779439510039563,4,-0.27698248396895814,49,0.14280244053137817,4,-0.2327977944748027,60,0.26915371816576383,4
67,Katuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1189094,93.2501395,-0.2639251515045057,49,0.40399612169877624,4,-0.3089771599382889,49,0.10478705871619483,4,-0.22596084333323105,60,0.2947151544874749,4
68,Kopila,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1092251,93.3088818,-0.24922852991340436,49,0.37668714746416626,4,-0.27044252440189664,49,0.17242457796741467,4,-0.2222808195792703,60,0.2999525131127022,4
69,Machang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0962492,93.3005705,-0.27293962712622133,49,0.37774691336885446,4,-0.30192291838145563,49,0.21129068141901394,4,-0.2643875681942141,60,0.28917789196660354,4
70,Nisuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1081822,93.414929,-0.30023740998465226,49,0.3866759134450314,4,-0.2711126656871016,49,0.09433962164920126,4,-0.24568730079249843,60,0.20134294941012523,4
71,Pipa,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0735847,93.283149,-0.24937879599662482,49,0.4006845903502335,4,-0.28844898075515946,49,0.29833425667359925,4,-0.24766281497437767,60,0.24565132228273512,4
72,Ramu,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1084035,93.4191096,-0.3058571747840049,49,0.37690343520088276,4,-0.2621883526017707,49,0.07766925650219805,4,-0.2281970262245825,60,0.23203939583140126,4
