village_id,village,district,block,state,is_core_sample,latitude,longitude,building_count,building_total_area_m2,building_mean_confidence
184,Hapuk (I),Kra daadi,Pipsorang,Arunachal Pradesh,True,28.0967863,93.5839299,22,1404.2103996276855,0.8113545396111228
185,Kokso,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.0838152,93.6115937,8,761.2594146728516,0.8064750134944916
186,Richik,Kra daadi,Pipsorang,Arunachal Pradesh,True,28.064816,93.6543383,4,192.68299865722656,0.8118000030517578
187,Chungthang,North,Chungthang,Sikkim,True,27.604236,88.6465196,344,38267.21178531647,0.8249860452704652
188,Tung,North,Chungthang,Sikkim,True,27.5475,88.6493,11,421.13540172576904,0.7822818160057068
189,Chawang,North,Kabi Tingda,Sikkim,True,27.4415,88.5992,33,2322.6814041137695,0.8344181866356821
190,Labi,North,Kabi Tingda,Sikkim,True,27.4373,88.6584,0,0.0,
191,Paney-Phensong,North,Kabi Tingda,Sikkim,True,27.4340487,88.6127695,72,6166.420501708984,0.8217111113998625
192,Phamtam,North,Kabi Tingda,Sikkim,True,27.4557,88.61,0,0.0,
193,Phodong,North,Kabi Tingda,Sikkim,True,27.4130306,88.5838702,138,13887.110793113708,0.8307094206844551
194,Ramthang,North,Kabi Tingda,Sikkim,True,27.4039854,88.550947,55,4108.788621902466,0.8124581792137839
195,Rongong,North,Kabi Tingda,Sikkim,True,27.4092,88.5635,15,1431.4228925704956,0.8316466569900512
196,Tangyek,North,Kabi Tingda,Sikkim,True,27.4207,88.527,134,10064.19183063507,0.812342535648773
197,Tingchim,North,Kabi Tingda,Sikkim,True,27.4607586,88.5277316,186,13431.689579963684,0.809981720742359
198,Tingda,North,Kabi Tingda,Sikkim,True,27.3957,88.6272,88,6446.320055007935,0.8162431838837537
199,Tumlong,North,Kabi Tingda,Sikkim,True,27.4198712,88.5898311,115,10205.76075553894,0.8177982589472895
200,Lachen,North,Lachen,Sikkim,True,27.7305455,88.5469054,415,42874.91418361664,0.8368872271962913
201,Lachung,North,Lachung,Sikkim,True,27.7794,88.7152648,0,0.0,
202,Barfok,North,Passingdang,Sikkim,True,27.4977,88.491,3,192.48859786987305,0.8478999932607015
203,Gor,North,Passingdang,Sikkim,True,27.4302826,88.4984203,65,4072.4958238601685,0.8100169190993676
204,Hee-Gyathang,North,Passingdang,Sikkim,True,27.4816,88.4991,13,954.2577934265137,0.8224230729616605
205,Lingdem,North,Passingdang,Sikkim,True,27.5494817,88.4569319,47,3363.511706352234,0.7987702095762212
206,Lingdong,North,Passingdang,Sikkim,True,27.5073091,88.5194632,88,7566.405405044556,0.8105363629081033
207,Lingthem,North,Passingdang,Sikkim,True,27.5224732,88.5014686,97,9144.15085029602,0.8202618563298097
208,Lingzah-Tolung,North,Passingdang,Sikkim,True,27.571,88.4466,0,0.0,
209,Lum,North,Passingdang,Sikkim,True,27.394,88.48,18,1009.6321182250977,0.8110111057758331
210,Namok,North,Passingdang,Sikkim,True,27.4504654,88.5375829,78,4411.8150091171265,0.81904615347202
211,Sakyong-Pentong,North,Passingdang,Sikkim,True,27.5797,88.4049,0,0.0,
212,Salim Pakel,North,Passingdang,Sikkim,True,27.5379,88.5518,20,1362.3284149169922,0.8085600018501282
213,Sangtok,North,Passingdang,Sikkim,True,27.4091,88.504,57,3130.3207263946533,0.8020070153370238
214,Sheyam,North,Passingdang,Sikkim,True,27.4367,88.528,105,7109.913709640503,0.8089809497197469
215,Shipgyer,North,Passingdang,Sikkim,True,27.5544461,88.6336147,74,5607.8596267700195,0.8175500003067223
216,Tingbong,North,Passingdang,Sikkim,True,27.5524,88.4984,0,0.0,
217,Zimchung,North,Passingdang,Sikkim,True,27.4903,88.5321,196,28275.423001289368,0.8257229614014528
218,Bampa,Chamoli,Joshimath,Uttarakhand,True,30.7436664,79.8297153,244,16531.901206970215,0.809343441099417
