village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count,ndbi_change,lights_change
25,Yakung,Anjaw,Walong,Arunachal Pradesh,True,28.1997526,97.0263468,-0.1758935025811989,-0.1919861259207141,48,58,0.2799170378562624,0.2360536422646415,4,4,-0.016092623339515194,-0.04386339559162086
26,Achali,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8429461,95.9704783,-0.2235841728820867,-0.2377830473499601,196,236,0.3871700248328897,0.3170385923928328,4,4,-0.014198874467873407,-0.07013143244005693
27,Achengo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8238506,95.9428387,-0.178435678385396,-0.1816443277240884,196,236,0.3700559866455074,0.2436506136634449,4,4,-0.0032086493386923876,-0.12640537298206247
28,Acheso,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9263772,95.97448,-0.224600671745051,-0.2412131895166576,98,118,0.3374396853737141,0.0510773030191398,4,4,-0.016612517771606605,-0.2863623823545743
29,Alinye,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8346828,95.9628967,-0.1739863636774496,-0.1933090253068009,196,236,0.4526876420045794,0.2530849874841983,4,4,-0.019322661629351312,-0.19960265452038112
30,Angrim Valley,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8842816,95.9786208,-0.2131769726410399,-0.2481724525781447,196,236,0.3931848128439963,0.1174257426257311,4,4,-0.03499547993710478,-0.2757590702182652
31,Aropo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8230901,95.9397069,-0.1935234115737186,-0.1969255593727831,196,236,0.3317574196883423,0.2494939493857594,4,4,-0.0034021477990645033,-0.08226347030258294
32,Atoto,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8355826,95.9647411,-0.1778232254357092,-0.1998194594235073,196,236,0.4333713850159953,0.2577171407656574,4,4,-0.021996233987798097,-0.17565424425033793
33,Echito,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9291593,95.9752771,-0.2169395663131494,-0.246967131145495,98,118,0.3341355593353673,0.0083754116794018,4,4,-0.030027564832345616,-0.3257601476559655
34,Ediya,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9638191,95.8076515,-0.231469518690691,-0.183864265811042,49,59,0.3849752221404193,0.2778386543402324,4,4,0.04760525287964898,-0.10713656780018688
35,Emuli,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8871158,95.8356573,-0.2634856016425803,-0.2308067761431136,98,118,0.364636161985839,0.1670424492317103,4,4,0.032678825499466685,-0.19759371275412868
36,Gipulin,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8479222,95.9666253,-0.1996290684869892,-0.2258475807352935,196,236,0.4016462813097325,0.2731729677077528,4,4,-0.02621851224830432,-0.12847331360197972
37,Kamuyi,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9926912,95.8050502,-0.2586917211162948,-0.2508675946561142,49,59,0.3697494433183501,0.1304102405282106,4,4,0.007824126460180603,-0.23933920279013948
38,Mipi H.Q.,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9641685,95.8081308,-0.2288211980242991,-0.1822329988878079,49,59,0.381644371959278,0.2949916358908416,4,4,0.046588199136491204,-0.08665273606843638
39,Mipido,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.950424,95.8144355,-0.2178579544602741,-0.2161896997906204,49,59,0.419239848983013,0.1310235965224115,4,4,0.0016682546696537015,-0.28821625246060145
40,Etalin Bridge Point,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6094048,95.8703668,-0.1928446977574426,-0.204895381012304,50,59,0.331196748288223,0.315238235777269,4,4,-0.012050683254861416,-0.01595851251095398
41,Maliney,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6750197,96.1532235,-0.2000596529982347,-0.2224623783494047,49,59,0.394001675565504,0.1288227041395718,4,4,-0.022402725351169994,-0.26517897142593216
42,Mawali,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6599698,96.0170217,-0.2093510869291811,-0.2013086697432284,100,118,0.3748576962056436,0.165119974591237,4,4,0.008042417185952722,-0.20973772161440657
43,Punli,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6565904,95.8520788,-0.2180218090134875,-0.2665855429062531,50,59,0.3922709474350487,0.2176340770122058,4,4,-0.04856373389276558,-0.1746368704228429
44,Lengdi/Liang,East Kameng,Bameng,Arunachal Pradesh,True,27.5376292,92.923885,-0.2592452604697068,-0.2698777656544255,49,60,0.3948363432362171,0.2988487490311971,4,4,-0.010632505184718699,-0.09598759420501995
45,Upper Liyak,East Kameng,Bameng,Arunachal Pradesh,True,27.5337804,92.8465101,-0.2431891088799573,-0.2396561558139513,49,60,0.4199776308115163,0.3082941759219372,4,4,0.003532953066005984,-0.11168345488957909
46,Dao,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7832832,92.9383609,-0.2129906238661555,-0.2397242002358998,49,59,0.362863493184006,0.2157380725779094,4,4,-0.0267335763697443,-0.14712542060609662
