system:index,after_image_count,before_image_count,block,district,is_core_sample,lights_after,lights_before,ndbi_after,ndbi_before,state,village,village_id,.geo
00000000000000000064,3,1,Parsi-Parlo,Kurung Kumey,true,0.313531701636394,0.3953448307593753,-0.24246934480869772,-0.24553119734038148,Arunachal Pradesh,Nyokuriang,101,"{""type"":""Point"",""coordinates"":[93.56220495191955,28.006235854468045]}"
00000000000000000065,3,1,Parsi-Parlo,Kurung Kumey,true,0.32719966871985073,0.3887541687594637,-0.23194640022960444,-0.23646530257283124,Arunachal Pradesh,Pachang,102,"{""type"":""Point"",""coordinates"":[93.47201517401257,28.025053260913587]}"
00000000000000000066,3,1,Parsi-Parlo,Kurung Kumey,true,0.289994406833329,0.3720418906744632,-0.29599105068170894,-0.2557544667145999,Arunachal Pradesh,Pado I,103,"{""type"":""Point"",""coordinates"":[93.57578737372836,27.975601830230875]}"
00000000000000000067,1,0,Parsi-Parlo,Kurung Kumey,true,0.3599446269694885,0.3339008857245461,-0.2863018009631304,,Arunachal Pradesh,Pagam,104,"{""type"":""Point"",""coordinates"":[93.45849963871957,28.049310770644333]}"
00000000000000000068,3,1,Parsi-Parlo,Kurung Kumey,true,0.3803079917150386,0.35564372494204854,-0.28047043886248196,-0.2757588005564302,Arunachal Pradesh,Pape,105,"{""type"":""Point"",""coordinates"":[93.4902573564222,28.01296017885665]}"
00000000000000000069,1,0,Parsi-Parlo,Kurung Kumey,true,0.2571689095828937,0.35290404194265634,-0.3115095527480963,,Arunachal Pradesh,Pariang,106,"{""type"":""Point"",""coordinates"":[93.48038044758883,28.03281655584764]}"
0000000000000000006a,1,0,Parsi-Parlo,Kurung Kumey,true,0.31651556876397896,0.3508286932617989,-0.28193388411190284,,Arunachal Pradesh,Passik,107,"{""type"":""Point"",""coordinates"":[93.47054367066492,28.036000353999793]}"
0000000000000000006b,3,1,Parsi-Parlo,Kurung Kumey,true,0.3034756790458886,0.36685803063989225,-0.2568445999850824,-0.2543935989499965,Arunachal Pradesh,Pilop,108,"{""type"":""Point"",""coordinates"":[93.56747115026367,28.00412669966976]}"
0000000000000000006c,3,1,Parsi-Parlo,Kurung Kumey,true,0.3462542365836559,0.395290960161026,-0.30946385919304653,-0.3194695407525069,Arunachal Pradesh,Rashik,109,"{""type"":""Point"",""coordinates"":[93.55084762153643,28.008059626798907]}"
0000000000000000006d,3,1,Parsi-Parlo,Kurung Kumey,true,0.2772757464139036,0.35963179261845474,-0.2938077559423166,-0.2781887641936511,Arunachal Pradesh,Yarba-I,110,"{""type"":""Point"",""coordinates"":[93.56540212737488,27.96349091176971]}"
