system:index,block,district,is_core_sample,lights_after,lights_before,ndbi_after,ndbi_before,state,village,village_id,.geo
00000000000000000062,Parsi-Parlo,Kurung Kumey,True,0.3334621113932547,0.3002892865779552,-0.2382440747482843,-0.2651020101110452,Arunachal Pradesh,Geyang,99,"{""type"":""Point"",""coordinates"":[93.47183235086939,28.03230375922649]}"
00000000000000000063,Parsi-Parlo,Kurung Kumey,True,0.3692462614747915,0.3424616120169672,-0.2257792384183928,-0.1887461972088348,Arunachal Pradesh,Gonang,100,"{""type"":""Point"",""coordinates"":[93.51698966723762,27.988484173174275]}"
00000000000000000064,Parsi-Parlo,Kurung Kumey,True,0.2984807144547994,0.2977280257740063,-0.2527688859486918,-0.2165885788036362,Arunachal Pradesh,Nyokuriang,101,"{""type"":""Point"",""coordinates"":[93.56220495191955,28.006235854468045]}"
00000000000000000065,Parsi-Parlo,Kurung Kumey,True,0.3269206511231762,0.3208926593236318,-0.2295489040231327,-0.2116747887594899,Arunachal Pradesh,Pachang,102,"{""type"":""Point"",""coordinates"":[93.47201517401257,28.025053260913587]}"
00000000000000000066,Parsi-Parlo,Kurung Kumey,True,0.2747169411049209,0.3005363159339522,-0.3115665631086799,-0.2299696543078345,Arunachal Pradesh,Pado I,103,"{""type"":""Point"",""coordinates"":[93.57578737372836,27.975601830230875]}"
00000000000000000067,Parsi-Parlo,Kurung Kumey,True,0.3259579168337657,0.308922104958284,-0.2863543954635738,-0.3089843998349652,Arunachal Pradesh,Pagam,104,"{""type"":""Point"",""coordinates"":[93.45849963871957,28.049310770644333]}"
00000000000000000068,Parsi-Parlo,Kurung Kumey,True,0.3457722899717972,0.3071365087860564,-0.2835087589442567,-0.2551583219081641,Arunachal Pradesh,Pape,105,"{""type"":""Point"",""coordinates"":[93.4902573564222,28.01296017885665]}"
00000000000000000069,Parsi-Parlo,Kurung Kumey,True,0.2871801324698793,0.2957865654686351,-0.2976308895899552,-0.3031961143531275,Arunachal Pradesh,Pariang,106,"{""type"":""Point"",""coordinates"":[93.48038044758883,28.03281655584764]}"
0000000000000000006a,Parsi-Parlo,Kurung Kumey,True,0.3271255055577126,0.2998275817832904,-0.2722470978982378,-0.2963142375697617,Arunachal Pradesh,Passik,107,"{""type"":""Point"",""coordinates"":[93.47054367066492,28.036000353999793]}"
0000000000000000006b,Parsi-Parlo,Kurung Kumey,True,0.3011378189085296,0.2896794816015532,-0.2983037936502095,-0.2393011710849376,Arunachal Pradesh,Pilop,108,"{""type"":""Point"",""coordinates"":[93.56747115026367,28.00412669966976]}"
0000000000000000006c,Parsi-Parlo,Kurung Kumey,True,0.3002212807283563,0.3066732572296918,-0.2991206579282714,-0.3093311248755809,Arunachal Pradesh,Rashik,109,"{""type"":""Point"",""coordinates"":[93.55084762153643,28.008059626798907]}"
0000000000000000006d,Parsi-Parlo,Kurung Kumey,True,0.2825627537198769,0.2971216324357891,-0.3360570974598543,-0.2722070769858263,Arunachal Pradesh,Yarba-I,110,"{""type"":""Point"",""coordinates"":[93.56540212737488,27.96349091176971]}"
0000000000000000006e,Sarli,Kurung Kumey,True,0.2987499965230624,0.3124120323856672,-0.3165312698470577,-0.3331836321683574,Arunachal Pradesh,Bala,111,"{""type"":""Point"",""coordinates"":[93.1252487214903,27.94310390175336]}"
0000000000000000006f,Sarli,Kurung Kumey,True,0.2920630127191543,0.3491038445160288,-0.3443965157344723,-0.3014537397652365,Arunachal Pradesh,Chaching,112,"{""type"":""Point"",""coordinates"":[93.23394822787014,27.937596911952358]}"
00000000000000000070,Sarli,Kurung Kumey,True,0.2975980408911434,0.2586422490326069,-0.2918023391298217,-0.2878831079949584,Arunachal Pradesh,Chulu,113,"{""type"":""Point"",""coordinates"":[93.05452291968159,27.87920944275853]}"
00000000000000000071,Sarli,Kurung Kumey,True,0.2343494529061698,0.2960067535881518,-0.2950880416276512,-0.2622360711242803,Arunachal Pradesh,Gane,114,"{""type"":""Point"",""coordinates"":[93.03913456194614,27.9643158454646]}"
