village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified,built_before,built_after,built_before_image_count,built_after_image_count
146,Nampe,East Kameng,Unknown,Arunachal Pradesh,True,27.6900524,93.018259,41.12206662038251,control (non-VVP),True,0.03514325130746962,0.0407090986587387,10,9
147,Jomoh,East Kameng,Unknown,Arunachal Pradesh,True,27.6573981,92.9985809,41.82844426537984,control (non-VVP),True,0.05797878063283463,0.06492540998442566,10,10
148,Hanche,East Kameng,Unknown,Arunachal Pradesh,True,27.7421636,93.0637776,41.93292929038523,control (non-VVP),True,0.030167938961710657,0.03421158765730383,10,8
149,Byale,East Kameng,Unknown,Arunachal Pradesh,True,27.7356495,93.0675738,42.63914939786015,control (non-VVP),True,0.029696916927512605,0.0507360299391246,10,8
150,Waii,East Kameng,Unknown,Arunachal Pradesh,True,27.5965694,92.9464187,43.36805820629529,control (non-VVP),True,0.0555622378583651,0.052994448833519565,4,5
151,Namta Yangfo,East Kameng,Unknown,Arunachal Pradesh,True,27.7018661,93.0532147,43.38193597017538,control (non-VVP),True,0.02921980698188962,0.03702721970011853,10,9
152,Lapung,East Kameng,Unknown,Arunachal Pradesh,True,27.5627371,92.8898001,43.56340878215714,control (non-VVP),True,0.035660375639664954,0.03933078572813481,4,5
153,Bodo,East Kameng,Unknown,Arunachal Pradesh,True,27.680324,93.0406964,43.58582808883735,control (non-VVP),True,0.04546169386765388,0.03571741512400196,10,9
154,Jokhio,East Kameng,Unknown,Arunachal Pradesh,True,27.6531478,93.0282798,44.345881287237766,control (non-VVP),True,0.047723838057265086,0.044720601849269064,10,10
155,Sawa,East Kameng,Unknown,Arunachal Pradesh,True,27.6833826,93.0522114,44.37900635323837,control (non-VVP),True,0.0970276062009633,0.10912306040406208,10,9
156,Tungi,East Kameng,Unknown,Arunachal Pradesh,True,27.674452,93.0461713,44.39177806986576,control (non-VVP),True,0.041481280503234866,0.03543971065642582,10,9
157,Bengde,East Kameng,Unknown,Arunachal Pradesh,True,27.6619285,93.0379357,44.46874619346225,control (non-VVP),True,0.04155318272914364,0.03651811876046276,10,10
158,Pangia,East Kameng,Unknown,Arunachal Pradesh,True,27.633391,93.0158758,44.88700945558452,control (non-VVP),True,0.03803696008208275,0.045789075001962706,10,10
159,Kapak Leyak Docha,East Kameng,Unknown,Arunachal Pradesh,True,27.5303152,92.8464486,45.07935601529687,control (non-VVP),True,0.052348414906204954,0.06186966867506779,4,5
160,Jattom Sollung,East Kameng,Unknown,Arunachal Pradesh,True,27.7610472,93.1233315,45.52894522093924,control (non-VVP),True,0.03291933488891469,0.039456384067733545,6,4
161,Krema Pao,East Kameng,Unknown,Arunachal Pradesh,True,27.6579303,93.0508089,45.750519494240194,control (non-VVP),True,0.03601584426845705,0.04125608130900669,10,10
162,Khenawa,East Kameng,Unknown,Arunachal Pradesh,True,27.6180869,93.016777,46.12843128494904,control (non-VVP),True,0.06921206012854002,0.08601752610086978,10,10
163,Tagampu Sollung,East Kameng,Unknown,Arunachal Pradesh,True,27.7343114,93.1143115,46.50540156670997,control (non-VVP),True,0.029859330488740475,0.03448056942994093,6,4
164,Norang,East Kameng,Unknown,Arunachal Pradesh,True,27.5824001,92.9783276,46.53440226970117,control (non-VVP),True,0.03351902513647642,0.03365086180054784,4,5
165,Margingia Camp,East Kameng,Unknown,Arunachal Pradesh,True,27.631307,93.0389871,46.72768006177675,control (non-VVP),True,0.05738130453145282,0.08304549579609145,10,10
166,Tarawa Yangfo,East Kameng,Unknown,Arunachal Pradesh,True,27.7267073,93.1157187,47.12625814259949,control (non-VVP),True,0.03043728716009999,0.03664912365163536,6,4
167,Pordung,East Kameng,Unknown,Arunachal Pradesh,True,27.6065455,93.0184293,47.150571405851686,control (non-VVP),True,0.03398847078951163,0.04530772870177622,10,10
168,Keyang,East Kameng,Unknown,Arunachal Pradesh,True,27.7303152,93.1297477,47.99146668996831,control (non-VVP),True,0.03299683098459391,0.037415307532863123,6,4
