village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
111,Bala,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9431025,93.1252507,-0.26836414448174817,-0.2387805864106285,98,121,0.3518333469496833,0.3330888994534811,4,4
112,Chaching,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9375989,93.2339474,-0.2827570308905702,-0.26777643520668937,98,121,0.44537443894121614,0.34455947138139337,4,4
113,Chulu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8792111,93.0545229,-0.2769198207866918,-0.2823788294219619,98,120,0.3865748947149856,0.39602423528217534,4,4
114,Gane,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9643147,93.0391329,-0.24301681455872134,-0.23085062469655632,196,237,0.3910894489616428,0.22185779943925524,4,4
115,Haraiho,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9804475,93.1383943,-0.2995633843505523,-0.29880719206583795,98,121,0.3971000015735626,0.38119999408721916,4,4
116,Kapu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8879985,93.075251,-0.22830708382338435,-0.22282884255111282,98,120,0.2896734210956204,0.29174548897657304,4,4
117,Koropu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9899045,93.2023371,-0.3155439148361444,-0.2625110115806761,98,121,0.3707964644495365,0.28452433197371724,4,4
118,Machane,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9220981,93.0770012,-0.30797140894214714,-0.31111866434662955,98,120,0.35064188330560114,0.3106756774154869,4,4
119,Malo,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9563848,93.1153543,-0.27987270948113113,-0.2632638884485585,98,121,0.36460829165674025,0.32714285457738534,4,4
120,Milli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9506354,93.0574678,-0.2676891732162955,-0.23554595815578636,196,237,0.3934070756741331,0.23549778785853262,4,4
121,Namjo,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.942996,93.1849686,-0.3191093726777941,-0.2917219125408508,98,121,0.41085616434545824,0.26819634138176973,4,4
122,New Sarli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9582217,93.1705235,-0.2880027871684387,-0.30094080998477285,98,121,0.40964444266425243,0.43977778792381284,4,4
123,Riya,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8776779,93.0467319,-0.26494091790901203,-0.2642314440454437,98,120,0.3725777758492364,0.30951111396153763,4,4
124,Sape,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9549291,93.1321419,-0.24785681003794643,-0.25862193890559254,98,121,0.3632488869097789,0.35091409914294,4,4
125,Sarli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9525582,93.163373,-0.1924472398631644,-0.203762443726981,98,121,0.4192760161954353,0.46268099479006425,4,4
126,Sate,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9537376,93.1572444,-0.23365186890444176,-0.24346318102750658,98,121,0.44236665884653736,0.4883888936042786,4,4
127,Wabia,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9413919,93.1360402,-0.26231897770278423,-0.25074094789526985,98,121,0.3625446412978427,0.3673883801592247,4,4
128,Walu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9413919,93.1360402,-0.26231897770278423,-0.25074094789526985,98,121,0.3625446412978427,0.3673883801592247,4,4
129,Waru,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8852647,93.0448126,-0.2757466607875528,-0.2497599898142727,98,120,0.35373895041710507,0.3982079643591316,4,4
130,Chanli,Lower Dibang,Hunli-Desali,Arunachal Pradesh,True,28.2923493,96.0296242,-0.2087118939863786,-0.2026362455590501,74,79,0.37333333753702935,0.25980262223042944,4,4
131,Broxer,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.622647,91.9631993,-0.167167142129089,-0.24237165608246772,24,30,0.4364317184240282,0.3219823698115244,4,4
132,Luguthang,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.5948234,92.1857466,-0.19687518645156446,-0.20444423248867302,24,29,0.32593023693838785,0.2552906899951225,4,4
133,Mago,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.6883395,92.2081099,-0.20491707520277408,-0.2219798757317308,24,29,0.3442731272544105,0.31341409604454884,4,4
134,Namazing,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.5506261,91.9768197,-0.21469279179416528,-0.22618849803275864,24,30,0.3872433018737606,0.32358258736452894,4,4
135,Rho,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.6141065,91.987227,-0.22266687710842534,-0.22500421200589057,48,59,0.3573549023962447,0.3438950932717749,4,4
136,Kitpi,Tawang,Kitpi,Arunachal Pradesh,True,27.5731189,91.90284,-0.2309284096626174,-0.22181809698285454,24,30,0.7732777688238356,0.8811666531032987,4,4
137,Kitpi II,Tawang,Kitpi,Arunachal Pradesh,True,27.5731189,91.90284,-0.2309284096626174,-0.22181809698285454,24,30,0.7732777688238356,0.8811666531032987,4,4
138,Famla,Tawang,Tawang,Arunachal Pradesh,True,27.5612427,91.8523298,-0.22482315676486836,-0.24951428683048701,24,30,0.5136936911054559,0.6768693703788895,4,4
139,Gyangong Ani Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.6003059,91.8525209,-0.18030114876681075,-0.2786325659614665,24,30,0.4738839279328074,0.3789285699437771,4,4
140,Jangda,Tawang,Tawang,Arunachal Pradesh,True,27.5942319,91.9742379,-0.22920344653667396,-0.24038584855107195,24,30,0.4351027456864919,0.3768150536981347,4,4
141,Mandrelling,Tawang,Tawang,Arunachal Pradesh,True,27.5952914,91.8697249,-0.08875504380644268,-0.05266292970426281,24,30,1.1449775818752066,2.700201793101871,4,4
142,Sakpret,Tawang,Tawang,Arunachal Pradesh,True,27.57568,91.79901,-0.24012906236552783,-0.24038016754469696,24,30,0.3980292836288074,0.29960585271452994,4,4
143,Shyro,Tawang,Tawang,Arunachal Pradesh,True,27.5744459,91.9464757,-0.2647129094572346,-0.284238776125935,24,30,0.46346239653308835,0.6938163688225029,4,4
144,Singsore Ani Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.5952914,91.8697249,-0.08875504380644268,-0.05266292970426281,24,30,1.1449775818752066,2.700201793101871,4,4
145,Tawang Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.5866091,91.8573902,-0.18462509632847635,-0.1471890708790618,24,30,0.6453650469801065,0.7721128331876435,4,4
