village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified
169,Pordung,East Kameng,Unknown,Arunachal Pradesh,True,27.6065455,93.0184293,47.934187188344275,control (non-VVP),True
170,Lengdi Liang,East Kameng,Unknown,Arunachal Pradesh,True,27.5376292,92.923885,48.40847649732043,control (non-VVP),True
171,Kamke,East Kameng,Unknown,Arunachal Pradesh,True,27.6740303,93.089903,48.64409129712615,control (non-VVP),True
172,Keyang,East Kameng,Unknown,Arunachal Pradesh,True,27.7303152,93.1297477,48.68313538325027,control (non-VVP),True
173,Killo,East Kameng,Unknown,Arunachal Pradesh,True,27.685517,93.1001025,48.81623131316066,control (non-VVP),True
174,Bameng,East Kameng,Unknown,Arunachal Pradesh,True,27.5435197,92.9483413,49.11497083047297,control (non-VVP),True
175,Mangfi Mangam,East Kameng,Unknown,Arunachal Pradesh,True,27.6440742,93.0724919,49.18115156086854,control (non-VVP),True
176,Nari Camp,East Kameng,Unknown,Arunachal Pradesh,True,27.6463432,93.0774393,49.42051191870407,control (non-VVP),True
177,Yangfo,East Kameng,Unknown,Arunachal Pradesh,True,27.7351995,93.144567,49.64562715070555,control (non-VVP),True
178,Chome,Kra daadi,Unknown,Arunachal Pradesh,True,28.1503359,93.5386063,39.40214620190348,control (non-VVP),True
179,Raha,Kra daadi,Unknown,Arunachal Pradesh,True,28.1361584,93.5375846,40.213694997227364,control (non-VVP),True
180,Nikbia,Kra daadi,Unknown,Arunachal Pradesh,True,28.1267124,93.561505,42.788514750112896,control (non-VVP),True
181,Biya,Kra daadi,Unknown,Arunachal Pradesh,True,28.1035778,93.5745502,45.36312299736999,control (non-VVP),True
182,海马西,Kra daadi,Unknown,Arunachal Pradesh,True,28.2122563,93.6474944,46.24264212898342,control (non-VVP),True
183,Hapuk,Kra daadi,Unknown,Arunachal Pradesh,True,28.0967863,93.5839299,46.57366647457608,control (non-VVP),True
184,Neorum,Kra daadi,Unknown,Arunachal Pradesh,True,28.1946749,93.6465911,46.820432307567366,control (non-VVP),True
185,Korapu,Kra daadi,Unknown,Arunachal Pradesh,True,28.1693463,93.6556686,48.7367838125482,control (non-VVP),True
186,Dongmar Langpu,Kra daadi,Unknown,Arunachal Pradesh,True,28.1625815,93.6543169,48.92239295137883,control (non-VVP),True
187,Raba Karsang,Kra daadi,Unknown,Arunachal Pradesh,True,28.1380163,93.6578323,50.44180507482689,control (non-VVP),True
188,Pipsorang,Kra daadi,Unknown,Arunachal Pradesh,True,28.1542122,93.6754322,51.23719963981684,control (non-VVP),True
189,Samba Karsang,Kra daadi,Unknown,Arunachal Pradesh,True,28.1421137,93.6699491,51.32085856739772,control (non-VVP),True
190,Lungba,Kra daadi,Unknown,Arunachal Pradesh,True,28.0563852,93.6123875,51.60772562023206,control (non-VVP),True
191,Barbia,Kra daadi,Unknown,Arunachal Pradesh,True,28.0190623,93.587875,52.52882713914186,control (non-VVP),True
192,Sangyo,Kra daadi,Unknown,Arunachal Pradesh,True,28.0739291,93.639461,52.59713629518317,control (non-VVP),True
193,Furak,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1295763,93.2446185,24.03618112605657,control (non-VVP),True
194,Terreline,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1411574,93.3572171,26.98807855166189,control (non-VVP),True
195,Terik,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1291371,93.339988,27.253604173183554,control (non-VVP),True
196,赛探,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1191826,93.3236259,27.514653092640128,control (non-VVP),True
197,Tikla,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1115397,93.3098102,27.76318891784782,control (non-VVP),True
198,Nayapuk,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1297215,93.3536247,27.883114644649,control (non-VVP),True
199,Sebia,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1070207,93.3012679,27.941142532628323,control (non-VVP),True
200,帕普,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1632499,93.405407,28.09511290624666,control (non-VVP),True
201,Sayang,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1575101,93.4060193,28.602261035751493,control (non-VVP),True
202,Hagra,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.0961261,93.2908666,28.78543562624348,control (non-VVP),True
203,哈德,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1661506,93.419094,28.847891947684534,control (non-VVP),True
204,Putong,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1031564,93.3259013,29.255940373135257,control (non-VVP),True
205,达尔巴,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1607522,93.4195471,29.299565553124097,control (non-VVP),True
206,Tarla,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1131762,93.3533548,29.477852499173665,control (non-VVP),True
